/Dret<0> X,/Dret<0> Y
2.262499999999994e-08,1.80498279899205
2.274999999999994e-08,1.810584513925109
2.287499999999994e-08,1.811144509995362
2.299999999999994e-08,1.803512269817385
2.312499999999994e-08,1.800711067827099
2.324999999999994e-08,1.800081865592741
2.337499999999994e-08,1.799964256487234
2.349999999999994e-08,1.799948996781464
2.362499999999994e-08,1.799949704861405
2.374999999999994e-08,1.799952341756837
2.387499999999994e-08,1.799954980332268
2.399999999999994e-08,1.79995742510997
2.412499999999994e-08,1.799957162050208
2.424999999999994e-08,1.800107274301054
2.437499999999994e-08,1.799664515182793
2.449999999999993e-08,1.792355047842802
2.462499999999993e-08,1.785044780715142
2.474999999999993e-08,1.793021563762165
2.487499999999993e-08,1.799215938645761
2.499999999999993e-08,1.799943040528178
2.512499999999993e-08,1.799994020855568
2.524999999999993e-08,1.799997732063751
2.537499999999993e-08,1.799998770103051
2.549999999999993e-08,1.799999390134186
2.562499999999993e-08,1.799999744612189
2.574999999999993e-08,1.799999941366734
2.587499999999993e-08,1.800000052658206
2.599999999999993e-08,1.80000011466551
2.612499999999993e-08,1.800002048434977
2.624999999999993e-08,1.799967711717242
2.637499999999993e-08,1.800176031110843
2.649999999999993e-08,1.801013378288404
2.662499999999993e-08,1.804983653795677
2.674999999999993e-08,1.810584847244205
2.687499999999992e-08,1.811145578740633
2.699999999999992e-08,1.803520971903537
2.712499999999992e-08,1.800734408176541
2.724999999999992e-08,1.800114929564768
2.737499999999992e-08,1.799995924035354
2.749999999999992e-08,1.799973531874035
2.762499999999992e-08,1.799971122642292
2.774999999999992e-08,1.799971854968748
2.787499999999992e-08,1.7999727614796
2.799999999999992e-08,1.799973615161021
2.812499999999992e-08,1.799971975308237
2.824999999999992e-08,1.800120935883462
2.837499999999992e-08,1.799676440566132
2.849999999999992e-08,1.792357173686898
2.862499999999992e-08,1.785060184200091
2.874999999999992e-08,1.793030704448685
2.887499999999992e-08,1.799217267315288
2.899999999999992e-08,1.799941578330098
2.912499999999992e-08,1.799994514274558
2.924999999999991e-08,1.799998236773573
2.937499999999991e-08,1.799999328066544
2.949999999999991e-08,1.799999964668117
2.962499999999991e-08,1.8000003256934
2.974999999999991e-08,1.800000524228189
2.987499999999991e-08,1.800000635162385
2.999999999999992e-08,1.800000695819563
3.012499999999992e-08,1.800002618996191
3.024999999999992e-08,1.799967783251817
3.037499999999993e-08,1.80017764371435
3.049999999999993e-08,1.801017421646348
3.062499999999993e-08,1.804981829787528
