/D<0> X,/D<0> Y
7.712500000000004e-08,0
7.725000000000003e-08,0
7.737500000000003e-08,0
7.750000000000003e-08,0
7.762500000000002e-08,0
7.775000000000002e-08,0
7.787500000000003e-08,0
7.800000000000001e-08,0
7.812500000000001e-08,1.8
7.825e-08,1.8
7.8375e-08,1.8
7.849999999999999e-08,1.8
7.862499999999999e-08,1.8
7.874999999999999e-08,1.8
7.887499999999998e-08,1.8
7.899999999999998e-08,1.8
7.912499999999998e-08,1.8
7.924999999999997e-08,1.8
7.937499999999997e-08,1.8
7.949999999999996e-08,1.8
7.962499999999996e-08,1.8
7.974999999999994e-08,1.8
7.987499999999995e-08,1.8
7.999999999999995e-08,1.8
8.012499999999994e-08,1.8
8.024999999999994e-08,1.8
8.037499999999994e-08,1.8
8.049999999999993e-08,1.8
8.062499999999993e-08,1.8
8.074999999999993e-08,1.8
8.087499999999992e-08,1.8
8.099999999999992e-08,1.8
8.112499999999991e-08,1.8
8.124999999999991e-08,1.8
8.137499999999991e-08,1.8
8.14999999999999e-08,1.8
8.16249999999999e-08,1.8
8.174999999999989e-08,1.8
8.18749999999999e-08,1.8
8.199999999999989e-08,1.8
8.212499999999988e-08,0
8.224999999999988e-08,0
8.237499999999988e-08,0
8.249999999999987e-08,0
8.262499999999987e-08,0
8.274999999999986e-08,0
8.287499999999986e-08,0
8.299999999999986e-08,0
8.312499999999985e-08,0
8.324999999999985e-08,0
8.337499999999984e-08,0
8.349999999999984e-08,0
8.362499999999984e-08,0
8.374999999999982e-08,0
8.387499999999983e-08,0
8.399999999999983e-08,0
8.412499999999982e-08,0
8.424999999999982e-08,0
8.437499999999981e-08,0
8.449999999999981e-08,0
8.462499999999981e-08,0
8.47499999999998e-08,0
8.48749999999998e-08,0
8.499999999999979e-08,0
8.512499999999979e-08,0
8.524999999999979e-08,0
8.537499999999978e-08,0
8.549999999999978e-08,0
8.562499999999978e-08,0
8.574999999999977e-08,0
8.587499999999978e-08,0
8.599999999999976e-08,0
8.612499999999976e-08,0
8.624999999999976e-08,0
8.637499999999975e-08,0
8.649999999999975e-08,0
8.662499999999975e-08,0
8.674999999999974e-08,0
8.687499999999974e-08,0
8.699999999999973e-08,0
8.712499999999973e-08,0
8.724999999999973e-08,0
8.737499999999972e-08,0
8.749999999999972e-08,0
8.762499999999971e-08,0
8.774999999999971e-08,0
8.787499999999972e-08,0
8.79999999999997e-08,0
8.81249999999997e-08,0
8.82499999999997e-08,0
8.837499999999969e-08,0
8.849999999999969e-08,0
8.862499999999968e-08,0
8.874999999999968e-08,0
8.887499999999968e-08,0
8.899999999999967e-08,0
8.912499999999967e-08,0
8.924999999999966e-08,0
8.937499999999966e-08,0
8.949999999999966e-08,0
8.962499999999965e-08,0
8.974999999999965e-08,0
8.987499999999966e-08,0
8.999999999999964e-08,0
9.012499999999964e-08,0
9.024999999999963e-08,0
9.037499999999963e-08,0
9.049999999999963e-08,0
9.062499999999962e-08,0
9.074999999999962e-08,0
9.087499999999961e-08,0
9.099999999999961e-08,0
9.112499999999961e-08,0
9.12499999999996e-08,0
9.13749999999996e-08,0
9.14999999999996e-08,0
9.162499999999959e-08,0
9.174999999999959e-08,0
9.18749999999996e-08,0
9.199999999999958e-08,0
9.212499999999958e-08,0
9.224999999999957e-08,0
9.237499999999957e-08,0
9.249999999999956e-08,0
9.262499999999956e-08,0
9.274999999999956e-08,0
9.287499999999955e-08,0
9.299999999999955e-08,0
9.312499999999955e-08,0
9.324999999999954e-08,0
9.337499999999954e-08,0
9.349999999999953e-08,0
9.362499999999953e-08,0
9.374999999999953e-08,0
9.387499999999954e-08,0
9.399999999999952e-08,0
9.412499999999951e-08,1.8
9.424999999999951e-08,1.8
9.437499999999951e-08,1.8
9.44999999999995e-08,1.8
9.46249999999995e-08,1.8
9.47499999999995e-08,1.8
9.487499999999949e-08,1.8
9.499999999999949e-08,1.8
9.512499999999948e-08,1.8
9.524999999999948e-08,1.8
9.537499999999948e-08,1.8
9.549999999999947e-08,1.8
9.562499999999947e-08,1.8
9.574999999999946e-08,1.8
9.587499999999947e-08,1.8
9.599999999999946e-08,1.8
9.612499999999945e-08,1.8
9.624999999999945e-08,1.8
9.637499999999945e-08,1.8
9.649999999999944e-08,1.8
9.662499999999944e-08,1.8
9.674999999999943e-08,1.8
9.687499999999943e-08,1.8
9.699999999999943e-08,1.8
9.712499999999942e-08,1.8
9.724999999999942e-08,1.8
9.737499999999941e-08,1.8
9.749999999999941e-08,1.8
9.762499999999941e-08,1.8
9.77499999999994e-08,1.8
9.787499999999941e-08,1.8
9.79999999999994e-08,1.8
9.812499999999939e-08,0
9.824999999999939e-08,0
9.837499999999938e-08,0
9.849999999999938e-08,0
9.862499999999938e-08,0
9.874999999999937e-08,0
