Vdiff X,Vdiff Y
110,-0.1027545915509305
111,-0.09685349274624588
112,-0.09095498832234927
113,-0.08505385628088669
114,-0.07915272674583096
115,-0.07325153360370518
116,-0.06735047015704687
117,-0.0614492430446516
118,-0.05554802651582147
119,-0.0496467600488546
120,-0.04374608808536973
121,-0.03784480637250121
122,-0.03194352669715128
123,-0.02604220714564143
124,-0.02014101730118534
125,-0.01423968379158569
126,-0.008338363749304412
127,-0.002437011094562846
128,0.002437010975119946
129,0.008338368628138415
130,0.01423968902063466
131,0.02014102734642687
132,0.02604221839473819
133,0.03194353171661057
134,0.03784481229731007
135,0.04374610701897974
136,0.04964678589387073
137,0.0555480317989141
138,0.06144925002708246
139,0.06735048090104012
140,0.07325154759693531
141,0.07915273249874377
142,0.08505386465236664
143,0.09095501107986026
144,0.09685354949470448
145,0.1027545980015576
146,0.1086556188797154
147,0.1145566594432721
148,0.1204575037816045
149,0.126358476184997
150,0.1322593588978007
151,0.1381602713529815
152,0.1440604892561179
153,0.1499613207085373
154,0.1558620490529221
155,0.1617627967351682
156,0.1676633173495181
157,0.1735639740953621
158,0.1794645154393559
159,0.185365073770773
160,0.1912538581657359
161,0.1971543093189014
162,0.2030546314202122
163,0.208954968026364
164,0.2148550502181028
165,0.220755263615048
166,0.2266553328211676
167,0.2325554138900823
168,0.2384547489017403
169,0.2443546879623371
170,0.250254465825243
171,0.2561542527170024
172,0.2620537510297709
173,0.2679533749303487
174,0.2738528183969533
175,0.2797522678301083
176,0.2856489319317077
177,0.2915481944139617
178,0.2974472545451257
179,0.3033463173102904
180,0.309245047469306
181,0.3151438966143456
182,0.3210425183219523
183,0.3269411390121442
184,0.3328389238654472
185,0.3387373001466449
186,0.3446354201052553
187,0.3505335350199814
188,0.3564312592804821
189,0.3623290945514903
190,0.3682266400898722
191,0.3741241761175511
192,0.3799573278732185
193,0.3858545218553069
194,0.3917513861547985
195,0.397648235956797
196,0.4035446158478282
197,0.4094410968726836
198,0.4153372028001729
199,0.4212332886450088
200,0.4271283781521225
201,0.4330240402084244
202,0.4389192742115944
203,0.4448144818452302
204,0.450709113164907
205,0.4566038331567752
206,0.46249806318305
207,0.4683922597405108
208,0.4742833237168442
209,0.4801769574908501
210,0.4860700289612963
211,0.4919630589309782
212,0.4978553672847883
213,0.5037477483837214
214,0.5096394827842117
215,0.5155311665922877
216,0.5214215587198903
217,0.5273124928703725
218,0.5332026824397107
219,0.5390928111412263
220,0.5449820218413248
221,0.5508712849091459
222,0.5567596905822469
223,0.5626480238176705
224,0.5685236118230497
225,0.5744109401582755
226,0.5802972827245421
227,0.5861835399102502
228,0.5920686214277078
229,0.5979537296526483
230,0.6038377074152073
231,0.6097215854458438
232,0.6156036544218175
233,0.6214862164083899
234,0.6273674895152497
235,0.6332486471640018
236,0.6391283123808928
237,0.6450079731495322
238,0.6508861748926569
239,0.6567642441777641
240,0.6626381253345401
241,0.6685145033690145
242,0.6743892462915335
243,0.6802638386439006
244,0.6861365855822275
245,0.6920092922083581
246,0.69788018471915
247,0.7037509076272024
248,0.7096191228183091
249,0.7154877632716461
250,0.7213544171218829
251,0.7272208816135601
252,0.7330851554114346
253,0.7389493497941102
254,0.74481139457401
255,0.750673229697659
