/CLKT X,/CLKT Y
8.375000000000004e-09,1.676276337197905
8.500000000000003e-09,1.783213901991193
8.625000000000003e-09,1.797748613873097
8.750000000000002e-09,1.799708657923174
8.875000000000002e-09,1.799999257859731
9.000000000000001e-09,1.799976737547287
9.125000000000001e-09,1.7999237727559
9.25e-09,1.799943532940704
9.375e-09,1.799966798542617
9.499999999999999e-09,1.799981464207482
9.624999999999999e-09,1.7999898559603
9.749999999999998e-09,1.799994358271275
9.874999999999997e-09,1.799996922393033
9.999999999999997e-09,1.799998371196833
1.0125e-08,0.7637094256472613
1.025e-08,0.151371125943756
1.0375e-08,0.002784921611834298
1.049999999999999e-08,7.745423435965524e-05
1.062499999999999e-08,5.578398374090637e-05
1.074999999999999e-08,0.0009638438232672632
1.087499999999999e-08,6.571524595436769e-05
1.099999999999999e-08,7.552076837770861e-05
1.112499999999999e-08,5.241403877040198e-05
1.124999999999999e-08,2.23037198296489e-05
1.137499999999999e-08,7.393807738138671e-06
1.149999999999999e-08,1.918147467944835e-06
1.162499999999999e-08,2.337438362355879e-07
1.174999999999999e-08,-2.133252612003856e-07
1.187499999999999e-08,-3.399840852436884e-07
1.199999999999999e-08,-3.750380524727344e-07
1.212499999999999e-08,0.7299768910842229
1.224999999999999e-08,1.175503467353418
1.237499999999999e-08,1.676372984919267
1.249999999999999e-08,1.783652399229873
1.262499999999999e-08,1.79782915806658
1.274999999999999e-08,1.799703150080269
1.287499999999998e-08,1.799981305954777
1.299999999999998e-08,1.799960317294628
1.312499999999998e-08,1.799928338811499
1.324999999999998e-08,1.799947202381048
1.337499999999998e-08,1.799968010552499
1.349999999999998e-08,1.799981589607875
1.362499999999998e-08,1.799989629791344
1.374999999999998e-08,1.799994196595637
1.387499999999998e-08,1.799996820721851
1.399999999999998e-08,1.799998311160486
1.412499999999998e-08,0.763588438821161
1.424999999999998e-08,0.1513227482347002
1.437499999999998e-08,0.002783868120820214
1.449999999999998e-08,6.897618607656781e-05
1.462499999999998e-08,5.970376007883481e-05
1.474999999999998e-08,0.001094998785102572
1.487499999999998e-08,6.084879621207609e-05
1.499999999999998e-08,7.795062434764711e-05
1.512499999999997e-08,5.996712217698064e-05
1.524999999999997e-08,2.300692499359763e-05
1.537499999999997e-08,6.585794486285203e-06
1.549999999999997e-08,1.421482071824537e-06
1.562499999999997e-08,1.467623396887941e-07
1.574999999999998e-08,-1.51372031653411e-07
1.587499999999997e-08,-2.010412466301481e-07
1.599999999999997e-08,-1.849238875835752e-07
1.612499999999997e-08,0.7299769056350403
1.624999999999997e-08,1.175503817800431
1.637499999999997e-08,1.676372162909018
1.649999999999997e-08,1.783655303785375
1.662499999999997e-08,1.797943806500765
1.674999999999997e-08,1.799738044159789
1.687499999999997e-08,1.799962535804981
1.699999999999997e-08,1.799963874706682
1.712499999999997e-08,1.799928289850065
1.724999999999997e-08,1.799946995540578
1.737499999999997e-08,1.79996816831775
1.749999999999996e-08,1.799981752730809
1.762499999999996e-08,1.799989742577129
1.774999999999996e-08,1.799994264805505
1.787499999999996e-08,1.799996859165501
1.799999999999996e-08,1.799998332001814
1.812499999999996e-08,0.7634997028877447
1.824999999999996e-08,0.1513687227202774
1.837499999999996e-08,0.002739991936267949
1.849999999999996e-08,5.208697867994973e-05
1.862499999999996e-08,4.964727943253968e-05
1.874999999999996e-08,0.0002213983842363627
1.887499999999996e-08,7.525982941501331e-05
1.899999999999996e-08,4.569952902401392e-05
1.912499999999996e-08,5.174043741798612e-05
1.924999999999996e-08,2.58689717105422e-05
1.937499999999996e-08,8.910861329798117e-06
1.949999999999996e-08,2.461502134470231e-06
1.962499999999996e-08,5.705145811804624e-07
1.974999999999996e-08,1.356111057279173e-07
1.987499999999995e-08,3.453074271757055e-08
1.999999999999995e-08,1.333970683787033e-08
2.012499999999995e-08,0.7299688868090135
2.024999999999995e-08,1.17551099702442
2.037499999999995e-08,1.676378731168932
2.049999999999995e-08,1.783658722955681
2.062499999999995e-08,1.797960417224009
2.074999999999995e-08,1.79972746246495
2.087499999999995e-08,1.799996493032023
2.099999999999995e-08,1.799936394125126
2.112499999999995e-08,1.799928337419198
2.124999999999995e-08,1.799950514686205
2.137499999999995e-08,1.799970250049779
2.149999999999995e-08,1.799983134760848
2.162499999999995e-08,1.799990839049185
2.174999999999995e-08,1.799995239267977
2.187499999999994e-08,1.799998063524676
2.199999999999995e-08,1.799999329385429
2.212499999999995e-08,0.7634486065149574
2.224999999999994e-08,0.1513254826921435
2.237499999999994e-08,0.002792677151318105
2.249999999999994e-08,6.920329920789169e-05
2.262499999999994e-08,5.379721082021868e-05
2.274999999999994e-08,0.001317593094285421
2.287499999999994e-08,4.621064530172675e-05
2.299999999999994e-08,7.622049464114824e-05
2.312499999999994e-08,5.711990664003789e-05
2.324999999999994e-08,2.352286727209623e-05
2.337499999999994e-08,7.031099563910332e-06
2.349999999999994e-08,1.699388728467818e-06
2.362499999999994e-08,3.329238204675e-07
2.374999999999994e-08,-1.112522553769049e-09
2.387499999999994e-08,-6.014731481629922e-08
2.399999999999994e-08,-4.779646431862391e-08
2.412499999999994e-08,0.7299769424757273
2.424999999999994e-08,1.17550384047026
2.437499999999994e-08,1.676371887571974
2.449999999999993e-08,1.783655437941572
2.462499999999993e-08,1.797964599101512
2.474999999999993e-08,1.799742822222168
