Power_DAC_Load X,Power_DAC_Load Y
4.73750000000003e-08,0.03095047117546185
4.750000000000031e-08,0.03095373797150855
4.762500000000031e-08,0.03095616519638094
4.775000000000031e-08,0.03095799127926108
4.787500000000031e-08,0.03095944572014016
4.800000000000001e-08,0.03096065806047705
4.812500000000032e-08,0.03096164028453301
4.825000000000032e-08,0.03096261069754567
4.837500000000033e-08,0.03096355541719893
4.850000000000033e-08,0.03096256906280339
4.862500000000033e-08,0.03093912214295303
4.875000000000033e-08,0.03027093265478153
4.887500000000034e-08,0.03523717913356693
4.900000000000034e-08,0.03270115022015851
4.912500000000034e-08,0.03184976630867964
4.925000000000035e-08,0.03153346179842242
4.937500000000035e-08,0.03142464465312174
4.950000000000035e-08,0.03137721256580363
4.962500000000035e-08,0.03135101682301414
4.975000000000036e-08,0.03133402354903777
4.987500000000035e-08,0.03132189626683589
5e-08,0.03131300501158954
5.012500000000036e-08,0.03130670188220808
5.025000000000037e-08,0.03130139987122214
5.037500000000037e-08,0.03130058477959031
5.050000000000037e-08,0.03130702946645039
5.062500000000038e-08,0.03135053980195306
5.075000000000038e-08,0.03137011256337192
5.087500000000038e-08,0.03132687834804415
5.100000000000038e-08,0.03122330344195837
5.112500000000039e-08,0.03124106421227691
5.125000000000039e-08,0.03126548914417076
5.137500000000039e-08,0.03127496262476351
5.150000000000039e-08,0.03127789986634417
5.16250000000004e-08,0.03127848801307052
5.17500000000004e-08,0.03127827855825101
5.18750000000004e-08,0.0312777717117344
5.200000000000001e-08,0.031277104711788
5.212500000000041e-08,0.03127630069074232
5.225000000000041e-08,0.03127729165623971
5.237500000000041e-08,0.03127477163893469
5.250000000000042e-08,0.03122586159470997
5.262500000000042e-08,0.03117068029674055
5.275000000000042e-08,0.03009621606780947
5.287500000000043e-08,0.0311979230466624
5.300000000000043e-08,0.03049695723388177
5.312500000000043e-08,0.03073158823217949
5.325000000000043e-08,0.03083214648349901
5.337500000000044e-08,0.0308770518459993
5.350000000000044e-08,0.03089946890206614
5.362500000000044e-08,0.03091160455864892
5.375000000000044e-08,0.03091887105090946
5.387500000000044e-08,0.0309238391465235
5.4e-08,0.03092753757382788
5.412500000000045e-08,0.03093033451638316
5.425000000000046e-08,0.03093252988824657
5.437500000000046e-08,0.03093507565908034
5.450000000000046e-08,0.03093909379726375
5.462500000000046e-08,0.0309513933438357
5.475000000000047e-08,0.03096646826202222
5.487500000000047e-08,0.03097106917764061
5.500000000000047e-08,0.03093767574759187
5.512500000000048e-08,0.03092912917755408
5.525000000000048e-08,0.03093500704487936
5.537500000000048e-08,0.0309404473593644
5.550000000000048e-08,0.03094393515012667
5.562500000000049e-08,0.03094616344093416
5.575000000000049e-08,0.03094769790862064
5.587500000000049e-08,0.03094887966541683
5.600000000000001e-08,0.0309498541534722
5.61250000000005e-08,0.03095067530776078
5.62500000000005e-08,0.0309518832165542
5.63750000000005e-08,0.03095054269443299
5.650000000000051e-08,0.0309445920151191
5.662500000000051e-08,0.03091137865364004
5.675000000000051e-08,0.03039069146216667
5.687500000000051e-08,0.03488952894654186
5.700000000000052e-08,0.03263427565777079
5.712500000000052e-08,0.03173903014985897
5.725000000000052e-08,0.03148675179385144
5.737500000000053e-08,0.03139503249737036
5.750000000000053e-08,0.03134918467263259
5.762500000000053e-08,0.03132147255430178
5.775000000000053e-08,0.03130282751859904
5.787500000000053e-08,0.03128950035092489
5.8e-08,0.03127981247594316
5.812500000000054e-08,0.03127571079519514
5.825000000000054e-08,0.0312678137056371
5.837500000000055e-08,0.0312660359342616
5.850000000000055e-08,0.03127183228640146
5.862500000000055e-08,0.03131337186201378
5.875000000000056e-08,0.03134425182340589
5.887500000000056e-08,0.03132005792438082
5.900000000000056e-08,0.03120197290496577
5.912500000000056e-08,0.03119572148675921
5.925000000000057e-08,0.0312200824270135
5.937500000000057e-08,0.0312334357169991
5.950000000000057e-08,0.03123925403485588
5.962500000000058e-08,0.03124147847777004
5.975000000000057e-08,0.03124213570873399
5.987500000000058e-08,0.03124211564901067
6.000000000000001e-08,0.03124173815751949
6.012500000000056e-08,0.03124108808878839
6.025000000000056e-08,0.03124247517216397
6.037500000000055e-08,0.03121809440711151
6.050000000000055e-08,0.03123532717756809
6.062500000000054e-08,0.0311837354440913
6.075000000000054e-08,0.03039920402119431
6.087500000000054e-08,0.03198233812724322
6.100000000000053e-08,0.03060902061889624
6.112500000000053e-08,0.03079047304070183
6.125000000000053e-08,0.03086224006404326
6.137500000000052e-08,0.03088874640209759
6.150000000000052e-08,0.03090046163688113
6.162500000000051e-08,0.03090661417238939
6.175000000000051e-08,0.03091061125507888
6.187500000000052e-08,0.03091374764014213
6.200000000000001e-08,0.03091642449904815
6.21250000000005e-08,0.03091871898850188
6.225000000000049e-08,0.03092071356288442
6.237500000000049e-08,0.03092304544315204
6.250000000000049e-08,0.03092701870187273
6.262500000000048e-08,0.03093889838584809
6.275000000000048e-08,0.03095266590822484
6.287500000000048e-08,0.03095048780957198
6.300000000000047e-08,0.03092455296048149
6.312500000000047e-08,0.03091750700219603
6.325000000000046e-08,0.03092345749312768
6.337500000000046e-08,0.03092831010314062
6.350000000000046e-08,0.03093145369635962
6.362500000000045e-08,0.030933434202893
6.375000000000045e-08,0.03093481652393938
6.387500000000046e-08,0.03093588969942619
6.4e-08,0.03093677673053787
6.412500000000044e-08,0.03093752663474428
6.425000000000043e-08,0.0309384382309061
6.437500000000043e-08,0.03093656161959756
6.450000000000043e-08,0.03094139157747602
6.462500000000042e-08,0.03091928798227888
6.475000000000042e-08,0.0303616571857513
6.487500000000041e-08,0.03440626436078108
6.500000000000041e-08,0.03237617237953735
6.512500000000041e-08,0.03161551691536055
6.52500000000004e-08,0.03139507531123674
6.53750000000004e-08,0.03132123973321538
6.550000000000039e-08,0.03128733058061324
6.562500000000039e-08,0.03126768346114227
6.575000000000039e-08,0.03125442913529576
6.58750000000004e-08,0.03124471926129034
6.600000000000001e-08,0.03123745357471924
6.612500000000038e-08,0.03123219001187517
6.625000000000037e-08,0.03122770804433815
6.637500000000037e-08,0.03122702297502335
6.650000000000036e-08,0.03123262151838774
6.662500000000036e-08,0.03127059775064402
6.675000000000036e-08,0.03128438081767065
6.687500000000035e-08,0.03125242130401993
6.700000000000035e-08,0.03116713649693204
6.712500000000034e-08,0.03117592659795178
6.725000000000034e-08,0.03119501855113894
6.737500000000034e-08,0.03120306575234417
6.750000000000033e-08,0.03120593338824489
6.762500000000033e-08,0.03120672355522103
6.775000000000033e-08,0.03120668936755445
6.787500000000033e-08,0.03120631184534559
6.8e-08,0.03120574962275727
6.812500000000031e-08,0.0312050310433407
6.825000000000031e-08,0.0312057159146356
6.837500000000031e-08,0.03120494000487974
6.85000000000003e-08,0.03116364696136918
6.86250000000003e-08,0.03111235186947661
6.875000000000029e-08,0.02996923382397572
6.887500000000029e-08,0.03170142240820962
6.900000000000029e-08,0.03064937973459632
6.912500000000028e-08,0.03078612132289674
6.925000000000028e-08,0.03084935210565294
6.937500000000028e-08,0.03087843022987017
6.950000000000027e-08,0.03089300400708475
6.962500000000027e-08,0.03090118225133885
6.975000000000026e-08,0.03090650306965155
6.987500000000027e-08,0.03091044876685197
7e-08,0.03091356421513459
7.012500000000025e-08,0.0309160213505328
7.025000000000025e-08,0.03091792000179307
7.037500000000024e-08,0.03092036426381476
7.050000000000024e-08,0.03092457749442666
7.062500000000024e-08,0.03093896508523849
7.075000000000023e-08,0.03095337962643843
7.087500000000023e-08,0.0309553318116842
7.100000000000023e-08,0.03091697800349445
7.112500000000022e-08,0.03090973694931852
7.125000000000022e-08,0.0309174940956023
7.137500000000021e-08,0.03092335652377402
7.150000000000021e-08,0.03092671649516167
7.162500000000021e-08,0.0309286508515642
7.17500000000002e-08,0.03092988483974214
7.187500000000021e-08,0.03093076190547466
7.2e-08,0.0309314663376091
7.212500000000019e-08,0.03093204283546778
7.225000000000019e-08,0.03093310612263644
7.237500000000018e-08,0.03093255068700206
7.250000000000018e-08,0.03091665251585216
7.262500000000018e-08,0.03087837981432101
7.275000000000017e-08,0.03045325157789032
7.287500000000017e-08,0.03408315324230184
7.300000000000016e-08,0.03221635684872093
7.312500000000016e-08,0.03155201709462475
7.325000000000016e-08,0.03136325789201587
7.337500000000015e-08,0.03129850978265904
7.350000000000015e-08,0.03126882746823655
7.362500000000014e-08,0.03125115709361322
7.375000000000014e-08,0.03123879491647985
7.387500000000015e-08,0.03122934019632005
7.400000000000001e-08,0.03122185575524931
7.412500000000013e-08,0.03126586258911792
7.425000000000013e-08,0.03121584516073054
7.437500000000012e-08,0.03120088200496663
7.450000000000012e-08,0.03120161307908965
7.462500000000011e-08,0.03123858706498885
7.475000000000011e-08,0.03126965921810216
7.487500000000011e-08,0.03124553212796635
