Power_Bias X,Power_Bias Y
1.999999999999995e-08,0.00018
2.012499999999995e-08,0.00018
2.024999999999995e-08,0.00018
2.037499999999995e-08,0.00018
2.049999999999995e-08,0.00018
2.062499999999995e-08,0.00018
2.074999999999995e-08,0.00018
2.087499999999995e-08,0.00018
2.099999999999995e-08,0.00018
2.112499999999995e-08,0.00018
2.124999999999995e-08,0.00018
2.137499999999995e-08,0.00018
2.149999999999995e-08,0.00018
2.162499999999995e-08,0.00018
2.174999999999995e-08,0.00018
2.187499999999994e-08,0.00018
2.199999999999995e-08,0.00018
2.212499999999995e-08,0.00018
2.224999999999994e-08,0.00018
2.237499999999994e-08,0.00018
2.249999999999994e-08,0.00018
2.262499999999994e-08,0.00018
2.274999999999994e-08,0.00018
2.287499999999994e-08,0.00018
2.299999999999994e-08,0.00018
2.312499999999994e-08,0.00018
2.324999999999994e-08,0.00018
2.337499999999994e-08,0.00018
2.349999999999994e-08,0.00018
2.362499999999994e-08,0.00018
2.374999999999994e-08,0.00018
2.387499999999993e-08,0.00018
2.399999999999994e-08,0.00018
2.412499999999994e-08,0.00018
2.424999999999994e-08,0.00018
2.437499999999994e-08,0.00018
2.449999999999993e-08,0.00018
2.462499999999993e-08,0.00018
2.474999999999993e-08,0.00018
2.487499999999993e-08,0.00018
2.499999999999993e-08,0.00018
2.512499999999993e-08,0.00018
2.524999999999993e-08,0.00018
2.537499999999993e-08,0.00018
2.549999999999993e-08,0.00018
2.562499999999993e-08,0.00018
2.574999999999993e-08,0.00018
2.587499999999993e-08,0.00018
2.599999999999993e-08,0.00018
2.612499999999993e-08,0.00018
2.624999999999993e-08,0.00018
2.637499999999993e-08,0.00018
2.649999999999993e-08,0.00018
2.662499999999993e-08,0.00018
2.674999999999993e-08,0.00018
2.687499999999992e-08,0.00018
2.699999999999992e-08,0.00018
2.712499999999992e-08,0.00018
2.724999999999992e-08,0.00018
2.737499999999992e-08,0.00018
2.749999999999992e-08,0.00018
2.762499999999992e-08,0.00018
2.774999999999992e-08,0.00018
2.787499999999992e-08,0.00018
2.799999999999992e-08,0.00018
2.812499999999992e-08,0.00018
2.824999999999992e-08,0.00018
2.837499999999992e-08,0.00018
2.849999999999992e-08,0.00018
2.862499999999992e-08,0.00018
2.874999999999992e-08,0.00018
2.887499999999992e-08,0.00018
2.899999999999992e-08,0.00018
2.912499999999992e-08,0.00018
2.924999999999991e-08,0.00018
2.937499999999991e-08,0.00018
2.949999999999991e-08,0.00018
2.962499999999991e-08,0.00018
2.974999999999991e-08,0.00018
2.987499999999991e-08,0.00018
2.999999999999992e-08,0.00018
3.012499999999992e-08,0.00018
3.024999999999992e-08,0.00018
3.037499999999993e-08,0.00018
3.049999999999993e-08,0.00018
3.062499999999993e-08,0.00018
3.074999999999993e-08,0.00018
3.087499999999994e-08,0.00018
3.099999999999994e-08,0.00018
3.112499999999994e-08,0.00018
3.124999999999995e-08,0.00018
3.137499999999995e-08,0.00018
3.149999999999995e-08,0.00018
3.162499999999995e-08,0.00018
3.174999999999996e-08,0.00018
3.187499999999995e-08,0.00018
3.199999999999996e-08,0.00018
3.212499999999997e-08,0.00018
3.224999999999997e-08,0.00018
3.237499999999997e-08,0.00018
3.249999999999997e-08,0.00018
3.262499999999998e-08,0.00018
3.274999999999998e-08,0.00018
3.287499999999998e-08,0.00018
3.299999999999998e-08,0.00018
3.312499999999999e-08,0.00018
3.324999999999999e-08,0.00018
3.337499999999999e-08,0.00018
3.35e-08,0.00018
3.3625e-08,0.00018
3.375e-08,0.00018
3.3875e-08,0.00018
3.4e-08,0.00018
3.412500000000001e-08,0.00018
3.425000000000001e-08,0.00018
3.437500000000001e-08,0.00018
3.450000000000002e-08,0.00018
3.462500000000002e-08,0.00018
3.475000000000002e-08,0.00018
3.487500000000003e-08,0.00018
3.500000000000003e-08,0.00018
3.512500000000003e-08,0.00018
3.525000000000003e-08,0.00018
3.537500000000004e-08,0.00018
3.550000000000004e-08,0.00018
3.562500000000004e-08,0.00018
3.575000000000005e-08,0.00018
3.587500000000004e-08,0.00018
3.6e-08,0.00018
3.612500000000005e-08,0.00018
3.625000000000006e-08,0.00018
3.637500000000006e-08,0.00018
3.650000000000006e-08,0.00018
3.662500000000006e-08,0.00018
3.675000000000007e-08,0.00018
3.687500000000007e-08,0.00018
3.700000000000007e-08,0.00018
3.712500000000008e-08,0.00018
3.725000000000008e-08,0.00018
3.737500000000008e-08,0.00018
3.750000000000008e-08,0.00018
3.762500000000009e-08,0.00018
3.775000000000009e-08,0.00018
3.787500000000009e-08,0.00018
3.8e-08,0.00018
3.81250000000001e-08,0.00018
3.82500000000001e-08,0.00018
3.83750000000001e-08,0.00018
3.850000000000011e-08,0.00018
3.862500000000011e-08,0.00018
3.875000000000011e-08,0.00018
3.887500000000011e-08,0.00018
3.900000000000012e-08,0.00018
3.912500000000012e-08,0.00018
3.925000000000012e-08,0.00018
3.937500000000013e-08,0.00018
3.950000000000013e-08,0.00018
3.962500000000013e-08,0.00018
3.975000000000013e-08,0.00018
3.987500000000013e-08,0.00018
4.000000000000001e-08,0.00018
4.012500000000014e-08,0.00018
4.025000000000015e-08,0.00018
4.037500000000015e-08,0.00018
4.050000000000015e-08,0.00018
4.062500000000015e-08,0.00018
4.075000000000016e-08,0.00018
4.087500000000016e-08,0.00018
4.100000000000016e-08,0.00018
4.112500000000016e-08,0.00018
4.125000000000017e-08,0.00018
4.137500000000017e-08,0.00018
4.150000000000017e-08,0.00018
4.162500000000018e-08,0.00018
4.175000000000018e-08,0.00018
4.187500000000017e-08,0.00018
4.2e-08,0.00018
4.212500000000019e-08,0.00018
4.225000000000019e-08,0.00018
4.237500000000019e-08,0.00018
4.25000000000002e-08,0.00018
4.26250000000002e-08,0.00018
4.27500000000002e-08,0.00018
4.28750000000002e-08,0.00018
4.300000000000021e-08,0.00018
4.312500000000021e-08,0.00018
4.325000000000021e-08,0.00018
4.337500000000021e-08,0.00018
4.350000000000022e-08,0.00018
4.362500000000022e-08,0.00018
4.375000000000022e-08,0.00018
4.387500000000022e-08,0.00018
4.4e-08,0.00018
4.412500000000023e-08,0.00018
4.425000000000023e-08,0.00018
4.437500000000024e-08,0.00018
4.450000000000024e-08,0.00018
4.462500000000024e-08,0.00018
4.475000000000025e-08,0.00018
4.487500000000025e-08,0.00018
4.500000000000025e-08,0.00018
4.512500000000025e-08,0.00018
4.525000000000026e-08,0.00018
4.537500000000026e-08,0.00018
4.550000000000026e-08,0.00018
4.562500000000026e-08,0.00018
4.575000000000027e-08,0.00018
4.587500000000026e-08,0.00018
4.6e-08,0.00018
4.612500000000028e-08,0.00018
4.625000000000028e-08,0.00018
4.637500000000028e-08,0.00018
4.650000000000028e-08,0.00018
4.662500000000029e-08,0.00018
4.675000000000029e-08,0.00018
4.687500000000029e-08,0.00018
4.70000000000003e-08,0.00018
4.71250000000003e-08,0.00018
4.72500000000003e-08,0.00018
4.73750000000003e-08,0.00018
4.750000000000031e-08,0.00018
4.762500000000031e-08,0.00018
4.775000000000031e-08,0.00018
4.787500000000031e-08,0.00018
4.800000000000001e-08,0.00018
4.812500000000032e-08,0.00018
4.825000000000032e-08,0.00018
4.837500000000033e-08,0.00018
4.850000000000033e-08,0.00018
4.862500000000033e-08,0.00018
4.875000000000033e-08,0.00018
4.887500000000034e-08,0.00018
4.900000000000034e-08,0.00018
4.912500000000034e-08,0.00018
4.925000000000035e-08,0.00018
4.937500000000035e-08,0.00018
4.950000000000035e-08,0.00018
4.962500000000035e-08,0.00018
4.975000000000036e-08,0.00018
4.987500000000035e-08,0.00018
5e-08,0.00018
5.012500000000036e-08,0.00018
5.025000000000037e-08,0.00018
5.037500000000037e-08,0.00018
5.050000000000037e-08,0.00018
5.062500000000038e-08,0.00018
5.075000000000038e-08,0.00018
5.087500000000038e-08,0.00018
5.100000000000038e-08,0.00018
5.112500000000039e-08,0.00018
5.125000000000039e-08,0.00018
5.137500000000039e-08,0.00018
5.150000000000039e-08,0.00018
5.16250000000004e-08,0.00018
5.17500000000004e-08,0.00018
5.18750000000004e-08,0.00018
5.200000000000001e-08,0.00018
5.212500000000041e-08,0.00018
5.225000000000041e-08,0.00018
